ID,StName,WaterBody,District,pH,DO (mg/L),BOD (mg/L),Conductivity (mS/cm),COD (mg/L),Nitrate,Total Phosphate (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Turbidity (NTU),Chloride (mg/L),Fluoride (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L)
2358,Mallapur tank ,Lake/Tank,Medchal Malkajgiri,7.13,0.3,12,2485,182,5.8,4.86,33,540,16,348,1.16,1520,NA,22
2347,Asani Kunta,Lake/Tank,Sangareddy,7.12,NIL,20,2895,224,43,NA,5.6,110,40.6,875,0.41,1795,1256,65
1783,Kistareddypet Tank,Lake/Tank,Sangareddy,7.5,5.9,3.2,1345,38,15,NA,6.8,32,8.2,238,BDL,834,584,9
2348,Khazipally Tank,Lake/Tank,Sangareddy,7.21,6.5,2.8,1305,36,20,NA,1.8,11,7.2,296,BDL,809,566,7
4243,"Isnapur Tank,",Lake/Tank,Sangareddy,7.98,5.5,11,2987,151,71,NA,7.8,84,10.3,642,0.29,1852,1296,21
4302,Rudraram Tank,Lake/Tank,Sangareddy,8.25,6.1,12,1987,86,43,NA,5.5,21,9.4,345,0.39,1232,862,19
4240,"Muthangi Tank, ",Lake/Tank,Sangareddy,8.39,5.8,3.1,976,36,12,NA,6,38,7.2,204,BDL,605,424,7
4241,"Chitkul Tank, ",Lake/Tank,Sangareddy,7.95,6.8,3.4,1591,52,28,NA,6.8,63,6.3,282,0.71,986,690,15
4242,"Lakadaram Cheruvu, ",Lake/Tank,Sangareddy,8,7,3.8,1253,56,15,NA,8.3,39,5.9,209,0.35,777,544,11
1789,Himayathsagar lake                   ,Lake/Tank,RR-shamshabad,7.71,6.2,1,528,10,1.06,0.99,1.8,24,2.8,56,0.88,318,NA,10
3069,"Shameerpet lake, Shameerpet",Lake/Tank,Medchal Malkajgiri,7.72,6.1,1.2,587,14,2.96,1.6,4,240,6.6,56,0.98,352,NA,10
3078,"Pragathinagar cheruvu, Kukatpally",Lake/Tank,Medchal Malkajgiri,6.89,2,4,852,46,3.2,2.2,27,430,7.2,88,1.01,510,NA,14
2340,Lakshminarayana cheruvu ,Lake/Tank,Medchal Malkajgiri,7.31,4.2,2,1686,38,2.8,2.8,33,350,5.8,202,0.896,1012,NA,12
1788,Saroornagar Lake / Large Tank ,Lake/Tank,RR-shamshabad,6.98,0.3,9,963,91,4.16,2.48,27,430,10,140,0.94,586,NA,16
4234,"Umda sagar lake, Shamshabad ",Lake/Tank,RR-shamshabad,7.15,1,5.4,1195,63,3.49,1.74,24,430,19,208,0.82,752,NA,13
1464,Bibinagar Tank,Lake/Tank,Yadadri Bhuvanagiri,7.96,6.5,3.7,1271,48,48,NA,4.5,58,5.4,224,0.31,788,552,13
3068,Ramappa lake,Lake/Tank,Mulugu,7.53,6,1.2,240,28,1.8,0.43,1.8,21,8,27,0.57,154,NA,10
1447,Dharmasagar tank ,Lake/Tank,Warangal,7.86,6,1.8,308,28,2.5,0.49,1.8,25,8,30,0.53,194,NA,10
2346,Bhadrakali Cheruvu,Lake/Tank,Warangal Urban,8.05,4,2.6,416,52,1.8,0.43,1.8,43,4,54,0.53,262,NA,10
3084,"Waddepally tank, Kazipet",Lake/Tank,Warangal Urban,7.65,6,1.8,354,24,2.6,0.69,1.8,25,7,42,0.57,222,NA,10
3085,Chinnawaddepally tank,Lake/Tank,Warangal Urban,8.19,0.3,7,671,81,3.8,2.36,17,350,6,95,1.04,420,NA,12
2343,Premajipet tank ,Lake/Tank,RR-shamshabad,6.78,0.3,26,1364,297,4.86,3.24,31,430,14,174,1.29,860,,13
2345,Sai Cheruvu ,Lake/Tank,Warangal Urban,8.21,0.3,12,1429,137,4.4,0.43,38,430,12,266,0.48,902,NA,18
4222,"Koneru, Kondagattu temple, Jagitiyal",Lake/Tank,Karimnagar,6.99,5.2,1.8,668,28,3.6,1.22,2,39,10,72,0.95,414,NA,14
4223,"Vemulawada temple  Koneru , Karimnagar",Lake/Tank,Rajanna Siricilla,7.05,5.1,1.8,816,32,4.6,1.85,14,170,12,91,1.04,508,NA,10
4228,"Pedda Cheruvu/Ibrahim Cheruvu, Rajendra Nagar",Lake/Tank,RR-shamshabad,6.96,0.3,4,882,46,4.8,1.82,26,430,12,130,0.31,538,,13
4230,Kistaipally Cheruvu,Lake/Tank,Sangareddy,7.74,6.8,4,2280,52,70,NA,6.1,70,8.6,452,0.19,1414,990,22
4231,"Rayam Cheruvu, ",Lake/Tank,Sangareddy,7.72,6.9,3,998,28,25,NA,4.6,63,6.2,224,0.35,619,433,14
4232,"Komati Cheruvu, ",Lake/Tank,Siddipet,7.68,6.7,3.2,623,38,22,NA,3.6,48,3.9,112,BDL,386,270,9
4235,Lake Kamuni (Shamshabad Lake),Lake/Tank,RR-shamshabad,7.14,3.4,2.4,1106,36,3.08,1.06,4,280,10,144,0.96,686,NA,10
4233,"Gaddapotharam cheruvu,",Lake/Tank,Sangareddy,6.74,7,4.8,2157,72,48,NA,6,58,11,496,0.35,1337,936,13
4238,"Ameenpur Cheruvu, ",Lake/Tank,Sangareddy,7.32,7.1,4,1186,40,8,NA,7,63,9,204,0.41,735,515,17
4239,"Mahaboobsagar Tank, ",Lake/Tank,Sangareddy,7.21,6.9,2.7,1095,36,30,NA,6.8,84,4.3,190,0.46,679,475,8
4244,"Erdanoor Tank,",Lake/Tank,Sangareddy,7.36,7.1,3.8,1615,35,42,NA,5.6,41,3.9,340,0.29,1001,701,9
4245,"Mallepally Tank,",Lake/Tank,Sangareddy,7.14,6.5,4.2,1678,50,40,NA,2.1,22,3.8,272,0.34,1040,728,9
4247,"Mucharla Nagaram cheruvu, Warangal",Lake/Tank,Warangal Urban,8.16,3.2,4.8,538,60,4.4,0.75,14,170,6,56,0.56,336,NA,10
4248,"Koti Cheruvu, Hanamkonda, Warangal",Lake/Tank,Warangal Urban,7.11,1,5.9,869,92,2.84,0.89,21,170,8,118,0.53,540,NA,15
4229,Neknampur Lake,Lake/Tank,RR-shamshabad,7.06,0.3,8,1193,72,5.2,2.12,21,540,20,170,0.64,734,NA,14
4249,"Rangasamudram, Warangal",Lake/Tank,Warangal Urban,8.27,0.3,8.8,736,97,6.4,0.65,14,130,12,93,0.71,448,NA,16
4661,Peddakanjarla Tank,Lake/Tank,Sangareddy,6.71,6.9,2.8,369,40,13,NA,1.8,21,3.6,49,0.19,229,160,7
