ID,StName,WaterBody,District,pH,DO (mg/L),BOD (mg/L),Conductivity (mS/cm),COD (mg/L),Nitrate,Total Phosphate (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Turbidity (NTU),Chloride (mg/L),Fluoride (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L)
5113,"Chinna Cheruvu, Ramanthapur Bagat, Uppal",Lake/Tank,Medchal Malkajgiri,7.31,2,3,1030,32,5.8,2.2,21,920,17,158,0.31,638,NA,16
5114,"Shanthisarovor Pond, Gachibowli, Serilingmapally",Lake/Tank,Rangareddy ,6.63,4.7,2,550,27,8,2.14,17,240,10,88,0.56,340,NA,20
5115,"Raja Mohammad Kunta, Haffezpet, Serilingampally (M),",Lake/Tank,Rangareddy ,6.89,0.3,8,721,82,3.6,1.92,26,240,26,106,0.56,438,,20
5116,"Kotha Cheruvu (Novotel Lake), Khanamet, Serilingampally",Lake/Tank,Rangareddy ,6.79,5.9,2.9,176,38,2.6,1.68,26,350,16,26,0.62,104,NA,12
5118,"Kotha Kunta, Haffezpet, Serilingampally (M)",Lake/Tank,Rangareddy ,6.77,1.1,4,674,58,3.2,1.68,20,210,17,84,0.7,418,NA,26
5119,"Kaidam Kunta, Hafeezpet, Serilingampally (M)",Lake/Tank,Rangareddy ,6.85,0.3,6,722,68,3.6,2.18,25,350,22,102,0.62,454,NA,24
5120,"Thammidi Kunta, Khanamet, Serilingampally",Lake/Tank,Rangareddy ,6.94,0.3,6,1021,78,4.6,3.54,14,220,18,132,0.62,644,NA,14
5121,"Pale Cheruvu, Kattedan",Lake/Tank,Rangareddy,6.89,2.2,5,1100,51,3.96,3.01,21,540,20,160,1.04,672,NA,14
5124,"TCS Energy Park Lake,Gachibowli(V), Serilingampally (M), Rangareddy (D)",Lake/Tank,Rangareddy,6.71,5,3,589,36,3.4,1.42,20,280,14,84,0.32,366,NA,10
5126,"Bathula Cheruvu, Amangal, Hayathnagar",Lake/Tank,Rangareddy,7.16,2.6,4,1850,52,6.6,1.88,20,220,10,226,0.42,1148,NA,17
5127,"Kummari Kunta, Amangal, Hayathnagar",Lake/Tank,Rangareddy,7.06,2.1,4,1404,64,6.4,1.74,21,170,13,168,0.49,884,NA,14
5128,"Palle Cheruvu, Mylardevpalli, Rajendranagar",Lake/Tank,Rangareddy,7.13,0.3,8,1161,71,4.28,2.12,31,540,14,147,0.92,720,NA,19
5129,"Erra Kunta, Laxmiguda, Rajenderanagar",Lake/Tank,Rangareddy,7.18,2.8,2.2,1313,36,3.58,2.06,34,430,13,167,1.02,814,NA,15
5130,"Pathikunta, Budwel, Rajendranagar",Lake/Tank,Rangareddy,7.08,5.9,1,538,8,2.16,2.08,11,280,10,52,0.84,322,NA,10
5131,"Yellamma Cheruvu, Manikonda, Rajenderanagar",Lake/Tank,Rangareddy ,7.06,2.2,4,1192,40,5.2,1.98,24,220,15,188,0.44,728,NA,17
5132,"Malkam Cheruvu, Raidurgam, Serilingampally",Lake/Tank,Rangareddy ,7.07,3.6,19,1510,89,10.98,,,,38.7,108,1.25,896,687,18
5133,"Chandana Cheruvu, Jillelguda, ",Lake/Tank,Rangareddy,7.04,2,4,1346,47,3.88,1.88,24,430,10,172,1.09,834,NA,14
5134,"Manthrala Cheruvu, Meerpet",Lake/Tank,Rangareddy,7.04,3,2,1190,31,3.94,1.8,31,430,18,160,1.18,750,NA,15
